JORNADA;DATA;RECAUDACIO;IMPOSTOS;PREMIS;PLE_15_ENCERT;PLE_15_PREMI;C14_ENCERT;C14_PREMI;C13_ENCERT;C13_PREMI;C12_ENCERT;C12_PREMI;C11_ENCERT;C11_PREMI;C10_ENCERT;C10_PREMI
1;13/09/2020;2027263,5;912268,57;1114994,93;0;0;0;0;25;6081,79;356;427,09;3103;49;18964;9,62
2;20/09/2020;2388675,597;847594,5665;1541081,03;0;0;2;224157,24;20;10507,37;259;811,38;2447;85,88;15761;16
3;27/09/2020;3450948,75;1552926,94;1898021,81;1;1520029,72;3;184050,06;148;1748,79;1326;195,19;9688;26,72;51443;6,04
4;29/09/2020;1362144;612964,8;749179,2;0;0;0;0;5;20432,16;187;546,31;1697;60,02;10604;11,56
5;04/10/2020;2933729,25;1320178,16;1613551,09;0;0;0;0;5;44005,94;114;1930,09;1361;161,67;9405;28,07
6;11/10/2020;2203181,25;991431,56;1211749,69;0;0;11;32046,27;143;1155,51;1703;97,03;12320;13,41;61019;3,25
7;18/10/2020;3451203;1553041,35;1898161,65;0;0;0;0;4;64710,06;100;2588,4;1010;256,28;7219;43,03
8;20/10/2020;1196075,25;538233,86;657841,39;0;0;0;0;16;5606,6;200;448,53;2216;40,48;14952;7,2
9;25/10/2020;2760121,5;1242054,67;1518066,83;0;0;0;0;6;34501,52;92;2250,1;1066;194,19;8361;29,71
10;27/10/2020;1472750,25;662737,61;810012,64;28;3944,87;1380;170,75;16279;6,79;79483;2,78;215868;0;370739;0
11;01/11/2020;3531795,75;1589308,09;1942487,66;0;0;8;70635,92;185;1431,81;2705;97,92;22482;11,78;113307;2,81
12;03/11/2020;1325616;596527,2;729088,8;0;0;12;17674,88;819;121,39;10246;9,7;60189;1,65;210320;0
13;;;0,00 €;;;;;;;;;;;;;
14;;;0,00 €;;;;;;;;;;;;;
